player;height;position;year_born;nationality
GABE OLASENI;2.08;Center;1991;United Kingdom
BRAD OLESON;1.91;Guard;1983;Spain
LOUIS OLINDE;2.05;Forward;1998;Germany
ALBERT OLIVER;1.86;Guard;1978;Spain
JIMMY OLIVER;1.95;Guard;1969;United States of America
AYBERK OLMAZ;2.10;Forward;1996;Turkey
ALEN OMIC;2.16;Center;1992;Slovenia
OMER ONAN;1.94;Guard;1978;Turkey
YIGIT ONAN;2.07;Forward;2002;Turkey
CANER ONER;1.98;Forward;1987;Turkey
ARINZE ONUAKU;2.06;Center;1987;United States of America
INAKI ORDONEZ;2.03;Forward;2003;Spain
GEDIMINAS ORELIK;2.00;Forward;1990;Lithuania
PIERRE ORIOLA;2.08;Center;1992;Spain
BENJAMIN ORTNER;2.06;Center;1983;Austria
CEDI OSMAN;2.04;Forward;1995;Turkey
DJURO OSTOJIC;2.09;Center;1976;Serbia
YAKUBA OUATTARA;1.92;Guard;1992;France
ELVIR OVCINA;2.09;Center;1976;Bosnia and Herzegovina
RANDY OVENEKE;;Forward;1986;Belgium
DOUGLAS OVERTON;1.90;Guard;1969;United States of America
ANDRE OWENS;1.95;Forward;1971;France
OLUMIDE OYEDEJI;2.08;;1981;Nigeria
SASO OZBOLT;1.91;Guard;1981;Slovenia
CAN OZCAN;;;1989;Turkey
DOGUS OZDEMIROGLU;1.94;Guard;1996;Turkey
CEVHER OZER;2.05;Forward;1983;Turkey
HASAN OZKAN;2.03;Forward;1981;Turkey
KARTAL OZMIZRAK;1.88;Guard;1995;Turkey
TEOMAN OZTURK;2.08;Center;1967;Germany
SERKAN OZVER;2.07;Forward;1990;Turkey
TOMAS PACESAS;1.90;Guard;1971;Lithuania
ZAZA PACHULIA;2.10;Center;1984;Georgia
ROBERT PACK;1.88;Guard;1969;United States of America
BORA HUN PACUN;2.10;Forward;1987;Turkey
NIKOLAY PADIUS;1.97;Guard;1980;Russian Federation
DYLAN PAGE;2.05;Forward;1982;United States of America
GAVRILO PAJOVIC;;Guard;1971;Montenegro
MILT PALACIO;1.90;Guard;1978;Belize
JUAN PALACIOS;2.03;Forward;1985;Colombia
LEANDRO PALLADINO;1.94;Forward;1976;Argentina
CRAWFORD PALMER;;Center;1970;France
WALTER PALMER;2.12;Center;1968;United States of America
PIOTR PAMULA;1.95;Guard;1990;Poland
KEVIN PANGOS;1.86;Guard;1993;Slovenia
MATTEO PANICHI;2.05;Forward;1972;Italy
VADIM PANIN;2.03;Guard;1984;Russian Federation
ANDY PANKO;2.03;Forward;1977;United States of America
SERGEY PANOV;2.03;Forward;1970;Russian Federation
GIORGOS PANTAZOPOULOS;1.94;Guard;1972;Greece
SPYRIDON PANTELIADIS;1.90;Guard;1977;Greece
MELWIN PANTZAR;1.90;Guard;2000;Sweden
KONSTANTINOS PAPADAKIS;1.91;Guard;1998;Greece
ALEXIS PAPADATOS;1.86;;1976;Greece
LAZAROS PAPADOPOULOS;2.10;Center;1980;Greece
GEORGIOS PAPAGIANNIS;2.20;Center;1997;Greece
PANTELIS PAPAIOAKIM;2.06;Forward;1975;Greece
THEODOROS PAPALOUKAS;2.00;Guard;1977;Greece
MANOLIS PAPAMAKARIOS;1.90;Guard;1980;Greece
DIMITRIOS PAPANIKOLAOU;2.00;Forward;1977;Greece
KOSTAS PAPANIKOLAOU;2.04;Forward;1990;Greece
NIKOLAOS PAPANIKOLAU;2.06;Forward;1985;Greece
NIKOLAOS PAPANIKOLOPOULOS;1.96;Forward;1979;Greece
KOSTAS PAPANTONAKOS;1.98;Forward;1991;Greece
NONTAS PAPANTONIOU;1.90;Guard;1990;Greece
IOANNIS PAPAPETROU;2.03;Forward;1994;Greece
STIPO PAPIC;2.07;Forward;1978;Germany
NIKOS PAPPAS;1.96;Guard;1990;Greece
MICHAEL PARAGYIOS;2.06;Forward;1982;Greece
JOSE ANTONIO PARAISO;2.03;Forward;1971;Spain
ARTSIOM PARAKHOUSKI;2.11;Center;1987;Belarus
MILOS PARAVINJA;2.11;;1979;Slovenia
LUIS PAREJO;;;1989;Spain
JANNERO PARGO;1.88;Guard;1979;United States of America
JEREMY PARGO;1.88;Guard;1986;United States of America
ANTHONY PARKER;1.98;Guard;1975;United States of America
TJ PARKER;;Guard;1984;France
ASIM PARS;2.10;Center;1976;Turkey
DRAGO PASALIC;2.08;Forward;1984;Croatia
VLADO PASALIC;2.07;;1981;Croatia
KOSTAS PASCHALIS;2.08;Center;1975;Greece
DAVIDE PASCOLO;2.03;Forward;1990;Italy
ANZEJS PASECNIKS;2.16;Center;1995;Latvia
EVGENY PASHUTIN;;Guard;1969;Russian Federation
ZAKHAR PASHUTIN;1.96;Guard;1974;Russian Federation
JOHAN PASSAVE;2.00;Forward;1985;France
VALENTIN PASTAL;2.04;Forward;1984;Turkey
RUSLAN PATEEV;2.13;Center;1990;Russian Federation
LEVAN PATSATSIA;1.98;Forward;1988;Georgia
ANDRAE PATTERSON;2.06;Forward;1975;United States of America
BRANDON PAUL;1.93;Guard;1991;United States of America
RICKEY PAULDING;1.96;Guard;1982;United States of America
 ORIOL PAULI;2.01;Forward;1994;Spain
TOMAS PAVELKA;2.14;Center;2000;Slovakia
IVAN PAVIC;2.00;Forward;1981;Germany
SMILJAN PAVIC;2.09;Forward;1980;Slovenia
JUSTINAS PAVLAVICIUS;2.02;;1984;Lithuania
SASHA PAVLOVIC;2.01;Forward;1983;Montenegro
ADREIAN PAYNE;2.08;Center;1991;United States of America
MARK PAYNE;2.03;Forward;1988;United States of America
ANDREA PECCHIA;1.94;Guard;1997;Italy
MATTEO PECCHIA;1.95;;1983;Italy
OLEKSIY PECHEROV;2.12;Forward;1985;Ukraine
ANDREA PECILE;1.87;Guard;1980;Italy
VAIDOTAS PECIUKAS;1.99;Guard;1982;Lithuania
ALEXEY PEGUSHIN;1.94;Guard;1973;Russian Federation
ZANIS PEINERS;2.05;Forward;1990;Latvia
DAVOR  PEJCINOVIC;2.11;Center;1971;Croatia
KAYA PEKER;2.08;Center;1980;Turkey
NIKOLA PEKOVIC;2.10;Center;1986;Montenegro
MICHALIS PELEKANOS;1.98;Guard;1981;Greece
STEPHANE PELLE;2.05;Forward;1980;Cameroon
FRANCESCO PELLEGRINO;2.11;Center;1991;Italy
MARC-ANTOINE PELLIN;1.70;Guard;1987;France
AJDIN PENAVA;2.06;Center;1997;Bosnia and Herzegovina
SCOONIE PENN;1.80;Guard;1977;United States of America
KIRK PENNEY;1.95;Forward;1980;New Zealand
BORIS PENNINCK;2.02;Center;1988;Belgium
STEFAN PENO;1.93;Guard;1997;Serbia
ALEX PEREZ;1.91;Guard;1993;United States of America
JAVIER PEREZ;2.01;Guard;1979;Spain
JOSEP PEREZ;1.83;Guard;1994;Spain
PABLO PEREZ;1.85;Guard;1997;Spain
HRVOJE PERIC;2.03;Forward;1985;Croatia
HRVOJE PERINCIC;1.95;Guard;1978;Croatia
IVAN PERINCIC;;Forward;1977;Croatia
DORON PERKINS;1.89;Guard;1983;United States of America
JASMIN PERKOVIC;2.04;Forward;1980;Croatia
KOSTA PEROVIC;2.17;Center;1985;Serbia
STRATOS PERPEROGLOU;2.03;Forward;1984;Greece
MARQUE PERRY;1.85;Guard;1981;United States of America
NIKOLAOS PERSIDIS;2.00;Forward;1995;Greece
FRANCISCO JAVIER PERUJO;;Guard;1980;Spain
MARKO PESIC;1.96;Guard;1976;Germany
ANTOINE PESQUEREL;2.13;;1994;France
ALEC PETERS;2.06;Center;1995;United States of America
RAMUNAS PETRAITIS;1.94;Guard;1975;Lithuania
MARIUS PETRAVICIUS;2.07;Center;1979;Lithuania
ALEXANDRE PETRENKO;2.05;Forward;1976;Russian Federation
JOHAN PETRO;2.10;Center;1986;France
IGOR PETRONIJEVIC;;;1989;Serbia
SIMON PETROV;1.90;Guard;1976;Slovenia
VESELIN PETROVIC;1.95;Guard;1977;Serbia
KAROLIS PETRUKONIS;2.10;Center;1987;Lithuania
RICHARD PETRUSKA;2.08;Center;1969;Slovakia
NIKOLAOS PETTAS;1.92;;1981;Greece
BRENT PETWAY;2.05;Forward;1985;United States of America
DERRICK PHELPS;1.92;Guard;1972;United States of America
VLADIMIR PHILIPPOV;;;1989;Russian Federation
DARREN PHILLIP;2.01;Forward;1978;England
WILLIAM PHILLIPS;2.08;Forward;1979;France
ALESSANDRO PIAZZA;1.78;;1987;Italy
MIGUEL ANGEL PICHARDO;2.05;;1980;Spain
DYSHAWN PIERRE;1.98;Forward;1993;Canada
MATEUSZ PIETKIEWICZ;1.84;;1987;Poland
KAMIL PIETRAS;2.07;;1988;Poland
FLORENT PIETRUS;2.02;Forward;1981;France
MICKAEL PIETRUS;1.99;Forward;1982;France
GABRIELE PIGNALOSA;1.90;Guard;1988;Italy
FRAN PILEPIC;1.94;Guard;1989;Croatia
CLAUDIO PILUTTI;1.98;Guard;1968;Italy
FRANCESCO PIN DAL POS;1.93;;1985;Italy
KINGSLEY PINDA;1.95;Guard;1992;France
KEVINN PINKNEY;2.08;Forward;1983;United States of America
ANDRE PINTO;2.00;;1980;Portugal
DOMANTAS PIPIRAS;2.03;;1991;Lithuania
SUACAN PISKIN;1.88;Guard;1990;Turkey
RICCARDO PITTIS;2.03;Forward;1968;Italy
TRENT PLAISTED;2.11;Center;1986;United States of America
DARKO PLANINIC;2.11;Center;1990;Croatia
ZORAN PLANINIC;1.99;Guard;1982;Croatia
TIBOR PLEISS;2.21;Center;1989;Germany
GLEB PLOTNIKOV;1.94;Guard;1991;Russian Federation
GUY PNINI;2.01;Forward;1983;Israel
MARTYNAS POCIUS;1.96;Forward;1986;Lithuania
SAMUELE PODESTA;2.04;;1976;Italy
PAWEL PODGALSKI;2.07;;1988;Poland
GIUSEPPE POETA;1.90;Guard;1985;Italy
VINCENT POIRIER;2.13;Center;1993;France
ALEKSEJ POKUSEVSKI;2.14;Guard;2001;Serbia
MICHAEL POLITE;2.03;Forward;1968;Switzerland
JOSKO POLJAK;2.14;Center;1978;Croatia
ACHILLE POLONARA;2.02;Center;1991;Italy
MARCEL PONITKA;1.87;Forward;1997;Poland
MATEUSZ PONITKA;1.98;Forward;1993;Poland
ANTON PONKRASHOV;2.00;Guard;1986;Russian Federation
CONSTANTIN POPA;2.20;Center;1971;Israel
ILYA POPOV;2.10;Center;1995;Russian Federation
BOJAN POPOVIC;1.90;Guard;1983;Serbia
MARKO POPOVIC;;Guard;1982;Croatia
PETAR POPOVIC;1.93;Guard;1996;Montenegro
PETAR POPOVIC;2.11;Center;1979;Serbia
ANTONIO PORTA;1.88;Guard;1983;Argentina
LAVOR POSTELL;1.97;Forward;1978;United States of America
JIM POTTER;2.04;Forward;1973;United States of America
PIERRIC POUPET;1.89;Guard;1984;France
VINCENT POURCHOT;2.17;Center;1992;France
JOSH POWELL;2.06;Forward;1983;United States of America
ALEX POYTHRESS;2.06;Forward;1993;United States of America
JOSE POZAS;1.83;Guard;1992;Spain
GIANMARCO POZZECCO;1.80;Guard;1972;Italy
MARCO POZZI;;;1753;
JAIME PRADILLA;2.05;Center;2001;Spain
VIRGINIJUS PRASKEVICIUS;2.06;Forward;1974;Lithuania
ALEIX PRAT;;;1984;Spain
CASEY PRATHER;1.98;Forward;1991;United States of America
PATRICIO PRATO;1.93;Guard;1979;Italy
KRISTIAN PREGLEJ;;;1753;
EMIR PRELDZIC;2.06;Forward;1987;Turkey
KLEMEN PREPELIC;1.91;Guard;1992;Slovenia
PHIL PRESSEY;1.80;Guard;1991;United States of America
PAULO PRESTES;2.10;Center;1988;Brazil
CRESCENZO PREZIOSI;;;1993;Italy
HOLLIS PRICE;1.86;Guard;1979;United States of America
PABLO PRIGIONI;1.86;Guard;1977;Spain
VEDRAN PRINC;1.90;Guard;1982;Croatia
GEORGIOS PRINTEZIS;2.05;Forward;1985;Greece
ALESSANDRO PRIULI;2.02;;1986;Italy
NIKOLA PRKACIN;2.08;Forward;1975;Croatia
LaRon PROFIT;1.96;Forward;1977;United States of America
TONI PROSTRAN;1.81;Guard;1991;Croatia
JOSEP PUERTO;2.00;Guard;1999;Spain
JACOB PULLEN;1.83;Guard;1989;United States of America
KEVIN PUNTER;1.93;Guard;1993;United States of America
ANTON PUSHKOV;2.08;Center;1988;Russian Federation
VEDRAN PUSIC;2.08;;1986;Bosnia and Herzegovina
ARTEM PUSTOVYI;2.18;Center;1992;Ukraine
XAVI PUYADA;1.86;;1981;Spain
TRESOR QUIDOME;1.93;;1980;Switzerland
OMAR QUINTERO;1.82;Guard;1981;Mexico
XAVIER RABASEDA;1.98;Forward;1989;Spain
JORGE RACCA;1.98;Forward;1971;Argentina
NICOLAS RACON;;;1985;France
ALEKSA RADANOV;2.02;Guard;1998;Serbia
IVAN RADENOVIC;2.08;Forward;1984;Serbia
NIKOLA RADICEVIC;1.94;Guard;1994;Serbia
DINO RADJA;2.11;Center;1967;Croatia
ALEKSANDAR RADOJEVIC;2.21;Center;1976;Bosnia and Herzegovina
DEJAN RADOJEVIC;2.09;Center;1989;Serbia
DINO RADONCIC;2.02;Forward;1999;Montenegro
DEJAN RADONJIC;;Guard;1970;Montenegro
BOGDAN RADOSAVLJEVIC;2.13;Center;1993;Germany
LEON RADOSEVIC;2.08;Center;1990;Germany
MIROSLAV RADOSEVIC;1.94;;1973;Serbia
MIROSLAV RADULJICA;2.13;Center;1988;Serbia
NIKOLA RADULOVIC;2.07;Forward;1973;Italy
BALSA RADUNOVIC;2.03;Forward;1980;Serbia
MOSTAFA RAED;1.98;;1984;Germany
MANUEL RAGA;1.96;Forward;1973;Switzerland
JOE RAGLAND;1.81;Guard;1989;United States of America
JULIEN RAHIER;1.90;;1983;Belgium
DZENAN RAHIMIC;2.05;Center;1974;Croatia
MIROSLAV RAICEVIC;2.07;Forward;1981;Greece
SANDER RAIESTE;2.04;Forward;1999;Estonia
PETAR RAKICEVIC;2.04;Guard;1995;Serbia
IGOR RAKOCEVIC;1.91;Guard;1978;Serbia
IVAN RAKOCEVIC;2.05;;1983;Serbia
ZARKO RAKOCEVIC;2.04;Forward;1984;Montenegro
MILOVAN RAKOVIC;2.08;Center;1985;Serbia
RUDOLPH PHILLIP RAMELLI;;;1981;United States of America
IVAN RAMLJAK;2.03;Forward;1990;Croatia
ALEX RAMON;1.86;Guard;1993;Spain
DAMIR RANCIC;1.98;Guard;1983;Croatia
MARTIN RANCIK;2.04;Center;1978;Slovakia
BRIAN RANDLE;2.03;Forward;1985;United States of America
CHASSON RANDLE;1.88;Guard;1993;United States of America
JEROME RANDLE;1.75;Guard;1987;United States of America
RYAN RANDLE;2.06;Forward;1981;United States of America
ANTHONY RANDOLPH;2.11;Forward;1989;United States of America
KEVIN RANKIN;2.11;Center;1971;Turkey
TEEMU RANNIKKO;1.88;Guard;1980;Finland
FERNANDO RAPOSO;2.06;Forward;1989;Portugal
BENOIT RAQUIN;;;1989;France
ALEKSANDAR RASIC;1.95;Guard;1984;Serbia
ANDY RAUTINS;1.93;Guard;1986;Canada
ALLAN RAY;1.88;Guard;1984;United States of America
KENDRICK RAY;1.88;Guard;1994;United States of America
DUOP REATH;2.10;Center;1996;Australia
NIKOLA REBIC;1.88;Guard;1995;Serbia
REGGIE REDDING;1.93;Guard;1988;United States of America
MARIUSZ REDEK;;;1983;Poland
DOVYDAS REDIKAS;1.93;Guard;1992;Lithuania
WILLIE REED;2.11;Center;1990;United States of America
ROBERT REISENBUCHLER;2.10;Center;1968;Germany
MAXIME RENAUD;2.08;Center;1984;France
ALEX RENFROE;1.91;Guard;1986;United States of America
EFTHYMIOS RENTZIAS;2.12;Center;1976;Greece
TOMAS RESS;2.08;Center;1980;Italy
XAVI REY;2.08;Center;1987;Spain
ALFONSO REYES;2.02;Center;1971;Spain
FELIPE REYES;2.04;Forward;1980;Spain
JALEN REYNOLDS;2.07;Center;1992;United States of America
JR REYNOLDS;1.88;Guard;1984;United States of America
PAU RIBAS;1.94;Guard;1987;Spain
FABIO  RIBEIRO;2.07;Center;1968;Portugal
PHIL RICCI;2.03;Forward;1980;United States of America
FRANCESCO RICCIO;;;1990;Italy
TYRESE RICE;1.85;Guard;1987;United States of America
JAMEIL RICH;1.78;Guard;1975;United States of America
RYAN RICHARDS;2.10;Center;1991;United Kingdom
JEREMY  RICHARDSON;2.01;Forward;1984;United States of America
JOHANNES RICHTER;2.06;Forward;1993;Germany
RICK RICKERT;2.08;Center;1983;United States of America
ANDRE RIDDICK;2.08;Center;1973;United States of America
ANTOINE RIGAUDEAU;1.99;Guard;1971;France
ALEX RIGHETTI;2.00;Guard;1977;Italy
PAOLO RIGONI;2.02;;1982;Italy
PAUL RIGOT;1.99;;1995;France
JOHN RILLIE;1.95;Guard;1971;Australia
SLAVEN RIMAC;;Guard;1974;Croatia
STEPHANE RISACHER;2.01;Forward;1972;France
DUSAN RISTIC;2.14;Center;1995;Serbia
DAVID RIVERS;1.88;Guard;1965;United States of America
KC RIVERS;1.96;Guard;1987;United States of America
BOGDAN RIZNIC;2.01;Forward;1990;Serbia
HASAN RIZVIC;2.10;Center;1984;Slovenia
STUART ROBBINS;2.10;Center;1976;United Kingdom
BRIAN ROBERTS;1.85;Guard;1985;United States of America
LAWRENCE ROBERTS;2.06;Forward;1982;United States of America
MATTHIEU ROBIN;1.86;Guard;1992;France
ANTYWANE ROBINSON;2.03;Forward;1984;United States of America
FRANK ROBINSON;1.93;Forward;1984;United States of America
RUMEAL ROBINSON;1.88;Guard;1966;United States of America
RUSSEL ROBINSON;1.85;Guard;1986;United States of America
THOMAS ROBINSON;2.08;Center;1991;United States of America
PEDRO ROBLES;1.92;Guard;1977;Spain
MASON ROCCA;2.04;Forward;1977;Italy
TAYLOR ROCHESTIE;1.86;Guard;1985;United States of America
MANUEL ROCKMANN;1.88;Guard;1991;Germany
HENRIK RODL;2.01;Forward;1969;Germany
ANDRES RODRIGUEZ;1.82;Guard;1981;United States of America
BERNI RODRIGUEZ;1.97;Guard;1980;Spain
JAVIER RODRIGUEZ;1.89;;1984;Spain
NACHO RODRIGUEZ;1.88;Guard;1970;Spain
PAULO RODRIGUEZ;2.01;Forward;2000;Spain
SERGIO RODRIGUEZ;1.91;Guard;1986;Spain
JOHNNY ROGERS;2.07;Forward;1963;Spain
ROY ROGERS;2.08;Center;1973;United States of America
SHAWNTA ROGERS;1.63;Guard;1976;United States of America
ROKO ROGIC;1.85;Guard;1992;Croatia
JOSE ANTONIO ROJAS;;;1753;
VICTOR ROJAS;;;1753;
MICHAEL ROLL;1.98;Guard;1987;United States of America
PASCAL ROLLER;1.80;Guard;1976;Germany
SERGEY ROMANOV;2.00;Guard;1984;Russian Federation
RODOLFO ROMBALDONI;1.92;Guard;1976;Italy
HECTOR ROMERO;2.02;Forward;1980;Venezuela
SEAN LESTER ROOKS;2.08;Center;1969;United States of America
IGNACIO ROSA;2.01;Forward;1999;Spain
KRZYSZTOF ROSZYK;2.00;Forward;1978;Poland
MORAN ROTH;1.82;Guard;1982;Israel
BORIS ROTHBART;2.17;Center;1986;Israel
SAM ROTSAERT;1.94;Guard;1982;Belgium
LOUIS ROWE;2.01;Forward;1972;United States of America
EARL ROWLAND;1.88;Guard;1983;United States of America
MARIN ROZIC;2.01;Forward;1983;Croatia
GUILLEM RUBIO;2.02;Forward;1982;Spain
MARC RUBIO;1.90;;1988;Spain
RICKY RUBIO;1.92;Guard;1990;Spain
AUGUSTINE RUBIT;2.03;Forward;1989;United States of America
MATEJ RUDAN;2.05;Forward;2001;Croatia
VICTOR RUDD;2.04;Forward;1991;United States of America
DAMJAN RUDEZ;2.03;Center;1986;Croatia
MASSIMO RUGGERI;2.04;Forward;1972;Italy
MANTAS RUIKIS;1.99;;1985;Lithuania
ROBERTO RULLO;1.90;Guard;1990;Italy
THIERRY RUPERT;2.00;Forward;1977;France
LUKA RUPNIK;1.85;Guard;1993;Slovenia
IVAN RUSETSKIY;1.98;;1993;Russian Federation
BRION RUSH;1.86;Guard;1984;United States of America
FLORENT RUZ;;;1753;
JURICA RUZIC;1.99;;1977;Croatia
TOMISLAV RUZIC;2.08;Forward;1979;Croatia
NUNZIO SABBATINO;;Guard;1991;Italy
DONATAS SABECKIS;1.98;Guard;1992;Lithuania
ARVYDAS SABONIS;2.20;Center;1964;Lithuania
DOMANTAS SABONIS;2.08;Forward;1996;Lithuania
BRIAN SACCHETTI;2.00;Forward;1986;Italy
VICTOR SADA;1.92;Guard;1984;Spain
ELIO SADIKU;1.87;Guard;1991;France
IMANOL SAENZ DE CAMARA;1.88;Guard;1988;Spain
YOAV SAFFAR;2.06;;1975;Israel
MEHMET ARIF SAHAN;;;1988;Turkey
DORI SAHAR;1.95;Forward;2001;Israel
CIHAD SAHIN;;;1983;Turkey
MUSTAFA  SAHIN;2.05;Forward;1972;Turkey
MARTYNAS SAJUS;2.08;Center;1996;Lithuania
EVANGELOS SAKELLARIOU;1.91;Guard;1989;Greece
MAXIM SAKHAROV;1.92;Guard;1993;Russian Federation
DUSAN SAKOTA;2.10;Forward;1986;Greece
DAINIUS SALENGA;1.97;Forward;1977;Lithuania
BROOKS SALES;2.08;Center;1980;United States of America
DOKO SALIC;2.10;Center;1995;Serbia
SASU SALIN;1.91;Guard;1991;Finland
MARC SALYERS;2.06;Forward;1979;United States of America
NEGUEBA SAMAKE;2.11;Center;1988;France
MARKO SAMANIC;2.07;Center;1973;Croatia
PREDRAG SAMARDZISKI;2.11;Center;1986;North Macedonia
CHEICK SAMB;2.16;;1984;Senegal
MAMADOU SAMB;2.08;Center;1989;Spain
OMAR SAMHAN;2.11;Center;1986;United States of America
VICTOR SAMNICK;2.03;Forward;1979;France
PETR SAMOYLENKO;1.86;Guard;1977;Russian Federation
SAMARDO SAMUELS;2.06;Center;1989;Jamaica
FERNANDO SAN EMETERIO;1.99;Forward;1984;Spain
EKREM SANCAKLI;1.94;Guard;2001;Serbia
ALFONSO SANCHEZ;2.00;Guard;1987;Spain
JEROME SANCHEZ;1.96;Forward;1990;France
PEPE SANCHEZ;1.92;Guard;1977;Argentina
MELVIN SANDERS;1.95;Forward;1981;United States of America
RAKIM SANDERS;1.96;Forward;1989;United States of America
YOHANN SANGARE;1.95;Guard;1983;France
VIKTOR SANIKIDZE;2.03;Forward;1986;Georgia
MEHMET SANLI;2.04;Forward;1995;Turkey
SERTAC SANLI;2.12;Center;1991;Turkey
JORGE SANTANA;1.91;Forward;1990;Spain
MATTHEW SANTANGELO;1.86;Guard;1977;Italy
DANIEL SANTIAGO;2.16;Center;1976;Puerto Rico
PAOLO SANTILLI;;;1984;Italy
ISMAEL SANTOS;1.92;Guard;1972;Spain
HOWARD SANT-ROOS;2.01;Guard;1991;Cuba
JORGE SANZ;1.87;Guard;1993;Spain
MIRZA SARAJLIJA;1.83;Guard;1991;Slovenia
VYTAUTAS SARAKAUSKAS;2.05;Center;1982;Lithuania
DARIO SARIC;2.07;Forward;1994;Croatia
ZISIS  SARIKOPOULOS;2.12;Center;1990;Greece
MAURO SARTORI;2.04;Forward;1970;Italy
MARCO SASSELLA;1.96;Guard;1976;Switzerland
JERYL SASSER;1.98;Guard;1979;United States of America
JOAN SASTRE;2.01;Guard;1991;Spain
ROMAIN SATO;1.95;Forward;1981;Central African Republic
TOMAS SATORANSKY;2.01;Guard;1991;Czech Republic
FRANCESCO SATTA;1.95;;1997;Italy
DUSKO SAVANOVIC;2.04;Forward;1983;Serbia
GORAN SAVANOVIC;;;1973;Serbia
OGUZ SAVAS;2.13;Center;1987;Turkey
IVAN SAVELYEV;1.90;Guard;1987;Russian Federation
ZORAN SAVIC;2.08;Center;1966;Serbia
ALEXEI SAVKOV;1.96;Guard;1979;Russian Federation
BORIS SAVOVIC;2.06;Forward;1987;Serbia
SLOBODAN SAVOVIC;;Guard;1978;Montenegro
ALEKSEY SAVRASENKO;2.15;Center;1979;Russian Federation
YIGITCAN SAYBIR;2.03;Forward;1999;Turkey
SELIM SAYGIN;;;1985;Turkey
ALEX SCALES;1.93;Guard;1978;United States of America
GERMAN SCARONE;1.90;Guard;1975;Italy
MARKO SCEKIC;2.07;Forward;1981;Serbia
VLADO SCEPANOVIC;;Guard;1975;Serbia
HEIKO SCHAFFARTZIK;1.81;Guard;1984;Germany
LUKE SCHENSCHER;2.16;Center;1981;Australia
JONATHAN SCHEYER;1.96;Guard;1987;Israel
BLAKE SCHILB;2.01;Forward;1983;United States of America
CASEY SCHMIDT;1.99;Forward;1970;Germany
DANIEL SCHMIDT;1.86;Guard;1990;Germany
SEBASTIAN SCHMITT;1.84;Guard;1996;Germany
TIM SCHNEIDER;2.08;Forward;1997;Germany
SOFOKLIS SCHORTSANITIS;2.06;Center;1985;Greece
MICHAEL SCHROEDER;;Center;1984;Germany
SVEN SCHULTZE;2.08;Forward;1978;Germany
LAURENT SCIARRA;1.92;Guard;1973;France
LUIS SCOLA;2.06;Forward;1980;Spain
RICCARDO SCOMPARIN;1.93;Forward;1992;Italy
HUGO SCONOCHINI;1.94;Guard;1971;Italy
DAVID SCOTT EVANS;2.00;Forward;1973;United States of America
STANKO SEBIC;2.04;;1984;Slovenia
TADAS SEDEKERSKIS;2.00;Forward;1998;Lithuania
DENNIS SEELEY;1.93;Guard;1989;United States of America
THABO SEFOLOSHA;1.99;Forward;1984;Switzerland
ITAY SEGEV;2.04;Forward;1995;Israel
SEAD SEHOVIC;1.96;Forward;1989;Montenegro
SUAD SEHOVIC;1.97;Forward;1987;Montenegro
RENALDAS SEIBUTIS;1.96;Guard;1985;Lithuania
ANDREAS SEIFERTH;2.09;Center;1989;Germany
MARTIN SEIFERTH;2.08;Center;1990;Germany
RONY SEIKALY;2.11;Center;1965;United States of America
MLADEN SEKULARAC;2.03;Forward;1981;Serbia
BLAGOTA SEKULIC;2.10;Center;1982;Montenegro
ROD SELLERS;2.06;Center;1970;United States of America
WESLEY SENA;2.08;Center;1996;Brazil
SONER SENTURK;1.92;Guard;1986;Turkey
KEVIN SERAPHIN;2.08;Center;1989;France
SIMONAS SERAPINAS;1.97;Forward;1982;Lithuania
GIACOMO SERENI;;;1753;
MIGUEL SERRANO;2.03;Forward;2001;Spain
MIKI SERVERA;1.98;Guard;1992;Spain
JOSIP SESAR;1.97;Guard;1978;Croatia
ANSU SESAY;2.03;Forward;1976;United States of America
EDVINAS SESKUS;1.96;Guard;1995;Lithuania
RAMON SESSIONS;1.91;Guard;1986;United States of America
GIOVANNI SEVERINI;1.97;Guard;1993;Italy
OGUN SEVINC;;;1988;Turkey
LUKASZ SEWERYN;1.96;Forward;1982;Poland
NIKITA SHABALKIN;2.04;Forward;1986;Russian Federation
MUSTAFA SHAKUR;1.91;Guard;1984;United States of America
PING SHANG;2.05;Forward;1984;China
VLADISLAV SHARAPOV;2.03;Forward;1999;Russian Federation
DERRICK SHARP;1.83;Guard;1971;Israel
SHARON SHASON;2.06;Forward;1979;Israel
CASEY SHAW;2.08;Center;1975;United States of America
MAXIM SHEBOUROV;;;1981;Russian Federation
DORON SHEFFER;1.96;Guard;1972;Israel
GUR SHELEF;2.01;Forward;1974;Israel
MAKSIM SHELEKETO;2.05;Forward;1987;Russian Federation
TORNIKE SHENGELIA;2.06;Forward;1991;Georgia
GIORGI SHERMADINI;2.17;Center;1989;Georgia
KONSTANTIN SHEVCHUK;1.90;Guard;2000;Russian Federation
ANDREY SHEYKO;1.96;;1973;Russian Federation
JAMES SHIELDS;2.08;;1970;Germany
SHAVON SHIELDS;2.01;Forward;1994;Denmark
YEONATHAN SHIFFER;;;1987;Israel
JOSHUA SHIPP;1.96;Forward;1986;United States of America
PAUL SHIRLEY;2.08;Center;1977;United States of America
GRIGORY SHUKHOVTCOV;2.11;Center;1983;Russian Federation
JAMAL SHULER;1.91;Guard;1986;United States of America
PRESTON SHUMPERT;1.98;Forward;1979;United States of America
