Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Dorell Wright;27;25.8;3.9;9.3;421;2.0;4.7;422;1.9;4.6;419;1.8;2.0;873;0.9;4.6;5.4;1.7;0.9;0.4;1.0;1.8;11.6;Brose Bamberg;18
Nikos Zisis;27;22.3;2.2;4.9;444;0.6;1.4;410;1.6;3.5;457;1.3;1.6;818;0.2;1.9;2.1;2.8;0.5;0.0;1.6;2.0;6.3;Brose Bamberg;18
Daniel Hackett;26;24.0;3.1;6.3;497;0.9;2.5;369;2.2;3.8;582;2.4;3.0;808;0.2;2.5;2.7;3.4;0.4;0.0;1.4;2.3;9.6;Brose Bamberg;18
Luka Mitrovic;16;13.7;1.8;3.4;509;0.2;0.5;375;1.6;2.9;532;0.5;0.9;533;1.1;2.1;3.1;0.7;0.2;0.2;1.0;1.6;4.2;Brose Bamberg;18
Dejan Musli;15;19.8;4.0;6.7;594;0.0;0.0;0;4.0;6.7;594;2.4;3.5;679;2.0;4.1;6.1;1.4;0.3;0.3;1.4;1.7;10.4;Brose Bamberg;18
Louis Olinde;15;7.7;0.6;1.3;450;0.1;0.5;125;0.5;0.8;667;0.9;1.0;867;0.3;1.1;1.4;0.3;0.2;0.0;0.6;1.4;2.1;Brose Bamberg;18
Patrick Heckmann;14;11.1;0.7;1.9;385;0.2;0.4;500;0.5;1.4;350;0.4;0.5;857;0.4;0.9;1.4;0.2;0.3;0.0;0.6;1.6;2.1;Brose Bamberg;18
Bryce Taylor;10;23.9;2.5;5.5;455;1.3;3.0;433;1.2;2.5;480;0.5;0.6;833;0.5;1.6;2.1;0.7;0.7;0.2;0.0;2.7;6.8;Brose Bamberg;18
William McDowell-White;2;1.0;0.5;0.5;1000;0.5;0.5;1000;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;Brose Bamberg;18
Eddy Edigin;1;1.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Brose Bamberg;18
Thomas Heurtel;30;23.6;4.3;8.7;500;1.1;3.1;348;3.3;5.6;583;1.6;2.0;814;0.4;2.0;2.4;6.4;0.7;0.0;2.3;1.9;11.3;FC Barcelona Lassa;18
Adrien Moerman;30;22.3;3.0;6.8;446;1.1;3.5;324;1.9;3.3;576;0.4;0.6;632;1.3;4.2;5.5;1.0;0.6;0.2;0.9;2.4;7.6;FC Barcelona Lassa;18
Petteri Koponen;29;20.2;2.9;5.9;491;1.6;3.2;511;1.3;2.7;468;0.5;0.6;938;0.2;1.4;1.6;1.5;0.5;0.0;0.9;1.4;7.9;FC Barcelona Lassa;18
Ante Tomic;28;18.6;3.9;6.4;618;0.0;0.0;0;3.9;6.3;621;1.9;3.1;605;1.7;3.1;4.9;1.6;0.3;0.3;1.1;2.4;9.7;FC Barcelona Lassa;18
